Name	Organization
Sameer Agarwal	Databricks
Michael Armbrust	Databricks
Joseph Bradley	Databricks
Felix Cheung	Microsoft
Mosharaf Chowdhury	University of Michigan, Ann Arbor
Jason Dai	Intel
Tathagata Das	Databricks
Ankur Dave	UC Berkeley
Aaron Davidson	Databricks
Thomas Dudziak	Facebook
Robert Evans	Yahoo!
Wenchen Fan	Databricks
Joseph Gonzalez	UC Berkeley
Thomas Graves	Yahoo!
Stephen Haberman	Bizo
Mark Hamstra	ClearStory Data
Herman van Hovell	QuestTec B.V.
Yin Huai	Databricks
Shane Huang	Intel
Holden Karau	IBM
Andy Konwinski	Databricks
Hyukjin Kwon	Mobigen
Ryan LeCompte	Quantifind
Haoyuan Li	Alluxio, UC Berkeley
Xiao Li	Databricks
Davies Liu	Databricks
Cheng Lian	Databricks
Yanbo Liang	Hortonworks
Sean McNamara	Webtrends
Xiangrui Meng	Databricks
Mridul Muralidharam	Hortonworks
Andrew Or	Princeton University
Kay Ousterhout	UC Berkeley
Sean Owen	Cloudera
Tejas Patil	Facebook
Nick Pentreath	IBM
Imran Rashid	Cloudera
Charles Reiss	UC Berkeley
Josh Rosen	Databricks
Sandy Ryza	Remix
Kousuke Saruta	NTT Data
Saisai Shao	Hortonworks
Prashant Sharma	IBM
Ram Sriharsha	Databricks
DB Tsai	Netflix
Takuya Ueshin	Databricks
Marcelo Vanzin	Cloudera
Shivaram Venkataraman	UC Berkeley
Patrick Wendell	Databricks
Andrew Xia	Alibaba
Reynold Xin	Databricks
Burak Yavuz	Databricks
Matei Zaharia	Databricks, Stanford
Shixiong Zhu	Databricks